PPG_Retailer_Variant,Model,promo_catalogue,promo_ins,display_platinum,display_gold,display_silver,display_bronze,Packsize,Wtd.Selling.Dist,WeekNum,Month,Product.Type_Product.Type 3,Constant,Segment_Sharepacks,Segment_Xmas
Promo.Group 19__Retailer 0,LassoRegression_Positive,0.0,4.73,0.0,0.0,0.0,0.0,0.0,97.17,55.33,10.8,0.0,-68.03,,
Promo.Group 19__Retailer 1,LassoRegression_Positive,3.76,0.0,0.0,0.0,0.0,0.0,0.0,98.56,25.55,28.3,0.0,-56.16,,
Promo.Group 20__Retailer 0,LinearRegression_Positive,0.0,1.16,2.6,0.18,1.27,0.47,0.0,103.29,63.42,0.0,1.2,-74.02,0.43,
Promo.Group 20__Retailer 1,LassoRegression_Positive,23.34,7.77,4.06,0.0,0.0,0.0,0.0,102.71,36.47,0.0,0.0,-74.34,0.0,
Promo.Group 22__Retailer 0,ElasticNetRegression_Positive,0.54,0.0,0.0,0.0,0.0,0.54,0.0,88.02,38.16,0.0,0.22,-27.48,,
Promo.Group 22__Retailer 1,LassoRegression_Positive,4.0,0.0,0.0,0.0,0.0,0.09,0.0,66.73,30.07,1.24,0.0,-2.13,,
Promo.Group 3__Retailer 0,LassoRegression_Positive,11.56,1.17,4.19,0.0,1.2,0.0,3.09,108.44,54.25,0.0,1.57,-85.47,,
Promo.Group 3__Retailer 1,LinearRegression_Positive,20.3,4.86,12.12,0.92,1.34,3.29,4.57,101.9,40.54,1.8,1.26,-92.9,,
Promo.Group 5__Retailer 0,LinearRegression_Positive,0.95,3.46,0.0,0.0,0.0,0.0,2.6,102.52,30.96,0.0,1.63,-42.14,,0.02
Promo.Group 5__Retailer 1,LassoRegression_Positive,2.45,0.0,1.15,0.0,0.0,1.02,9.29,104.75,13.13,2.36,0.0,-34.15,,0.0
Promo.Group 6__Retailer 0,LinearRegression_Positive,9.56,0.53,4.39,1.93,0.14,0.0,46.02,100.51,51.98,0.0,0.0,-115.06,,
Promo.Group 6__Retailer 1,ElasticNetRegression_Positive,22.52,7.67,9.01,4.47,2.57,2.07,32.02,100.82,42.78,4.76,0.0,-128.68,,
