PPG_Retailer_Variant,Model,display_bronze,display_platinum,within_promo_ins,within_display_gold,cross_box_Price,within_display_bronze,cross_box_Wtd.Selling.Dist,cross_box_promo_catalogue,cross_box_display_gold,cross_box_display_platinum,cross_box_display_silver,Month_2,Wtd.Selling.Dist,within_Wtd.Selling.Dist,Product.Type_Product.Type 3,Price,Month_3,within_display_platinum,within_display_silver,within_Price,promo_catalogue,display_silver,display_gold,within_promo_catalogue,cross_box_display_bronze,cross_box_promo_ins,promo_ins,Constant
Promo.Group 19__Retailer 0,BayesianRegression,0.36,0.0,-10.69,3.15,15.43,7.25,-26.05,4.37,-0.85,-3.42,-0.57,-2.72,0.2,5.37,1.54,-61.68,-1.45,-0.36,6.72,0.98,0.36,0.0,0.0,-39.04,-0.05,0.11,18.64,182.41
Promo.Group 19__Retailer 1,BayesianRegression,1.43,38.34,2.35,-0.86,-4.56,-0.51,13.76,2.02,-1.25,-3.03,-0.3,-2.03,-14.7,-26.51,-0.12,-36.32,-1.62,-3.07,-0.12,14.69,1.85,0.14,1.08,2.84,-0.78,-0.47,0.0,117.76
Promo.Group 20__Retailer 0,BayesianRegression,2.16,11.96,,-8.13,,,,,-2.55,-2.47,1.72,-1.3,2.71,,5.42,-72.78,-1.81,-9.32,-7.68,,-6.36,4.42,9.09,,-3.9,-1.02,-1.83,181.67
Promo.Group 20__Retailer 1,BayesianRegression,13.97,31.2,,-47.92,-36.24,-10.57,27.91,20.58,-11.55,-1.6,-12.54,-7.78,29.49,-7.34,4.36,-97.79,-3.46,-18.3,-13.14,,-19.09,15.28,38.11,,-13.86,0.94,-10.16,229.5
Promo.Group 22__Retailer 0,BayesianRegression,0.53,0.0,-0.0,1.66,-24.85,1.65,-18.99,9.99,-5.89,-6.8,-3.38,-2.26,139.51,-5.67,1.88,0.8,-2.96,-0.05,-1.44,56.99,0.53,0.0,0.0,0.14,-4.4,-3.0,-2.81,-31.19
Promo.Group 22__Retailer 1,BayesianRegression,2.1,1.81,1.62,-1.3,16.81,-0.28,-4.12,10.96,-1.08,-1.55,-3.76,-0.62,67.66,-11.25,0.82,-158.91,0.08,-1.73,-0.6,46.48,-7.15,0.88,1.29,5.96,-5.02,5.46,0.0,135.42
Promo.Group 3__Retailer 0,BayesianRegression,8.05,12.8,-9.8,-2.86,,-3.21,,,-3.44,-3.34,-3.61,-0.12,16.1,,-6.35,-146.76,-2.6,-6.39,-6.5,,-4.77,4.32,13.22,,-5.08,2.22,-2.05,250.21
Promo.Group 3__Retailer 1,BayesianRegression,7.86,40.45,,,,-12.96,,,-3.54,-7.33,-7.18,-0.6,35.13,,,-68.97,4.6,-31.15,-9.24,,20.49,7.55,4.35,,-5.98,-5.53,4.65,127.42
Promo.Group 5__Retailer 0,BayesianRegression,-1.29,0.0,2.28,-1.68,,-3.29,,,-0.24,-0.87,0.13,-0.49,21.4,,0.88,-16.92,0.35,-2.18,-2.81,,1.93,0.0,0.0,,0.77,-2.59,7.73,96.89
Promo.Group 5__Retailer 1,BayesianRegression,1.38,1.6,0.83,-0.83,3.84,2.2,-12.0,-4.35,0.64,0.92,-0.87,-1.36,9.37,-0.19,-1.1,11.24,-0.08,-2.13,-0.18,23.37,2.2,0.4,0.55,2.03,0.03,2.12,0.0,60.36
Promo.Group 6__Retailer 0,BayesianRegression,5.03,13.01,2.17,-1.5,,0.61,,,-1.85,1.0,-1.93,-1.16,6.6,,2.91,-63.71,-0.49,-0.07,-0.5,,-11.13,10.45,8.69,,-1.63,3.44,-2.42,132.49
Promo.Group 6__Retailer 1,BayesianRegression,3.39,18.72,,,,-4.4,,,-0.35,0.18,-1.72,-0.24,23.31,,2.67,-84.76,0.39,,-13.54,,-3.84,14.66,5.61,,1.28,-3.03,-4.08,145.74
