PPG_Retailer_Variant,NumRows,NumCols,Promo_sparsity,Display_sparsity,Promotional_activity_sparsity,Sales_sparsity
Promo.Group 19__Retailer 0,565,12,79.65,99.12,79.65,80
Promo.Group 19__Retailer 1,565,12,92.92,73.45,71.68,79.29
Promo.Group 20__Retailer 0,1688,13,60.13,72.57,60.13,60.55
Promo.Group 20__Retailer 1,1689,13,38.01,61.1,38.01,59.15
Promo.Group 22__Retailer 0,113,12,82.3,99.12,82.3,12.39
Promo.Group 22__Retailer 1,113,12,94.69,74.34,74.34,4.42
Promo.Group 3__Retailer 0,5078,12,53.07,61.93,53.07,80.37
Promo.Group 3__Retailer 1,5080,12,40.75,63.74,39.86,90
Promo.Group 5__Retailer 0,1240,13,77.02,96.45,77.02,65
Promo.Group 5__Retailer 1,1242,13,92.91,69,68.12,61.03
Promo.Group 6__Retailer 0,3498,12,49.57,53.12,49.57,55.49
Promo.Group 6__Retailer 1,3500,12,40.71,61.06,40.71,61.06
,,,,,,
Whole_dataset,,,52.79,65.07,50.75,70.72
,,,,,,
,,,,,,
